psgc_code,reference_year,population,source
1380100127,2024,2440,2024 POPCEN (PSA)
1380100128,2024,2129,2024 POPCEN (PSA)
1380100129,2024,1612,2024 POPCEN (PSA)
1380100130,2024,2611,2024 POPCEN (PSA)
1380100131,2024,2271,2024 POPCEN (PSA)
1380100132,2024,8163,2024 POPCEN (PSA)
1380100133,2024,5690,2024 POPCEN (PSA)
1380100134,2024,1009,2024 POPCEN (PSA)
1380100135,2024,634,2024 POPCEN (PSA)
1380100136,2024,471,2024 POPCEN (PSA)
1380100137,2024,970,2024 POPCEN (PSA)
1380100138,2024,1612,2024 POPCEN (PSA)
1380100139,2024,3587,2024 POPCEN (PSA)
1380100140,2024,850,2024 POPCEN (PSA)
1380100141,2024,3383,2024 POPCEN (PSA)
1380100142,2024,4039,2024 POPCEN (PSA)
1380100143,2024,3556,2024 POPCEN (PSA)
1380100144,2024,4630,2024 POPCEN (PSA)
1380100145,2024,4886,2024 POPCEN (PSA)
1380100146,2024,3302,2024 POPCEN (PSA)
1380100147,2024,3828,2024 POPCEN (PSA)
1380100148,2024,3843,2024 POPCEN (PSA)
1380100149,2024,5457,2024 POPCEN (PSA)
1380100150,2024,4585,2024 POPCEN (PSA)
1380100151,2024,5377,2024 POPCEN (PSA)
1380100152,2024,4355,2024 POPCEN (PSA)
1380100153,2024,3827,2024 POPCEN (PSA)
1380100154,2024,4089,2024 POPCEN (PSA)
1380100155,2024,3712,2024 POPCEN (PSA)
1380100156,2024,6371,2024 POPCEN (PSA)
1380100157,2024,3194,2024 POPCEN (PSA)
1380100158,2024,2079,2024 POPCEN (PSA)
1380100159,2024,5645,2024 POPCEN (PSA)
1380100160,2024,17469,2024 POPCEN (PSA)
1380100161,2024,10010,2024 POPCEN (PSA)
1380100162,2024,16606,2024 POPCEN (PSA)
1380100163,2024,15645,2024 POPCEN (PSA)
1380100164,2024,20207,2024 POPCEN (PSA)
1380100165,2024,27597,2024 POPCEN (PSA)
1380100166,2024,21144,2024 POPCEN (PSA)
1380100167,2024,58357,2024 POPCEN (PSA)
1380100168,2024,37107,2024 POPCEN (PSA)
1380100169,2024,5057,2024 POPCEN (PSA)
1380100170,2024,13401,2024 POPCEN (PSA)
1380100171,2024,116013,2024 POPCEN (PSA)
1380100172,2024,23849,2024 POPCEN (PSA)
1380100173,2024,15702,2024 POPCEN (PSA)
1380100174,2024,25538,2024 POPCEN (PSA)
1380100175,2024,74760,2024 POPCEN (PSA)
1380100177,2024,87381,2024 POPCEN (PSA)
1380100178,2024,112582,2024 POPCEN (PSA)
1380100179,2024,48602,2024 POPCEN (PSA)
1380100180,2024,19513,2024 POPCEN (PSA)
1380100181,2024,22582,2024 POPCEN (PSA)
1380100182,2024,9621,2024 POPCEN (PSA)
1380100183,2024,7634,2024 POPCEN (PSA)
1380100184,2024,3139,2024 POPCEN (PSA)
1380100185,2024,28005,2024 POPCEN (PSA)
1380100186,2024,26285,2024 POPCEN (PSA)
1380100187,2024,25566,2024 POPCEN (PSA)
1380100188,2024,33787,2024 POPCEN (PSA)
1380100189,2024,48719,2024 POPCEN (PSA)
1380100190,2024,43135,2024 POPCEN (PSA)
1380100191,2024,39837,2024 POPCEN (PSA)
1380100192,2024,50940,2024 POPCEN (PSA)
1380100193,2024,53341,2024 POPCEN (PSA)
1380100194,2024,30953,2024 POPCEN (PSA)
1380200000,2024,615549,2024 POPCEN (PSA)
1380200001,2024,33683,2024 POPCEN (PSA)
1380200002,2024,10719,2024 POPCEN (PSA)
1380200003,2024,11758,2024 POPCEN (PSA)
1380200004,2024,7287,2024 POPCEN (PSA)
1380200005,2024,13908,2024 POPCEN (PSA)
1380200006,2024,19658,2024 POPCEN (PSA)
1380200007,2024,36908,2024 POPCEN (PSA)
1380200008,2024,42677,2024 POPCEN (PSA)
1380200009,2024,19994,2024 POPCEN (PSA)
1380200010,2024,36679,2024 POPCEN (PSA)
1380200011,2024,80621,2024 POPCEN (PSA)
1380200012,2024,51459,2024 POPCEN (PSA)
1380200013,2024,11443,2024 POPCEN (PSA)
1380200014,2024,37234,2024 POPCEN (PSA)
