psgc_code,tag_code,source,reference_year
1380100189,-,2020 CPH,2020
1380100190,-,2020 CPH,2020
1380100191,-,2020 CPH,2020
1380100192,-,2020 CPH,2020
1380100193,-,2020 CPH,2020
1380100194,-,2020 CPH,2020
1380200001,U,2020 CPH,2020
1380200002,U,2020 CPH,2020
1380200003,U,2020 CPH,2020
1380200004,U,2020 CPH,2020
1380200005,U,2020 CPH,2020
1380200006,U,2020 CPH,2020
1380200007,U,2020 CPH,2020
1380200008,U,2020 CPH,2020
1380200009,U,2020 CPH,2020
1380200010,U,2020 CPH,2020
1380200011,U,2020 CPH,2020
1380200012,U,2020 CPH,2020
1380200013,U,2020 CPH,2020
1380200014,U,2020 CPH,2020
1380200015,U,2020 CPH,2020
1380200016,U,2020 CPH,2020
1380200017,U,2020 CPH,2020
1380200018,U,2020 CPH,2020
1380200019,U,2020 CPH,2020
1380200020,U,2020 CPH,2020
1380300001,U,2020 CPH,2020
1380300002,U,2020 CPH,2020
1380300005,U,2020 CPH,2020
1380300006,U,2020 CPH,2020
1380300008,U,2020 CPH,2020
1380300009,U,2020 CPH,2020
1380300010,U,2020 CPH,2020
1380300011,U,2020 CPH,2020
1380300012,U,2020 CPH,2020
1380300013,U,2020 CPH,2020
1380300014,U,2020 CPH,2020
1380300015,U,2020 CPH,2020
1380300017,U,2020 CPH,2020
1380300018,U,2020 CPH,2020
1380300020,U,2020 CPH,2020
1380300023,U,2020 CPH,2020
1380300024,U,2020 CPH,2020
1380300025,U,2020 CPH,2020
1380300026,U,2020 CPH,2020
1380300027,U,2020 CPH,2020
1380300029,U,2020 CPH,2020
1380300030,U,2020 CPH,2020
1380300031,U,2020 CPH,2020
1380400001,U,2020 CPH,2020
1380400002,U,2020 CPH,2020
1380400003,U,2020 CPH,2020
1380400004,U,2020 CPH,2020
1380400005,U,2020 CPH,2020
1380400006,U,2020 CPH,2020
1380400007,U,2020 CPH,2020
1380400008,U,2020 CPH,2020
1380400009,U,2020 CPH,2020
1380400010,U,2020 CPH,2020
1380400011,U,2020 CPH,2020
1380400012,U,2020 CPH,2020
1380400013,U,2020 CPH,2020
1380400014,U,2020 CPH,2020
1380400015,U,2020 CPH,2020
1380400016,U,2020 CPH,2020
1380400017,U,2020 CPH,2020
1380400018,U,2020 CPH,2020
1380400019,U,2020 CPH,2020
1380400020,U,2020 CPH,2020
1380400021,U,2020 CPH,2020
1380500001,U,2020 CPH,2020
1380500002,U,2020 CPH,2020
1380500003,U,2020 CPH,2020
1380500004,U,2020 CPH,2020
1380500005,U,2020 CPH,2020
1380500006,U,2020 CPH,2020
1380500007,U,2020 CPH,2020
1380500008,U,2020 CPH,2020
1380500009,U,2020 CPH,2020
1380500010,U,2020 CPH,2020
1380500011,U,2020 CPH,2020
1380500012,U,2020 CPH,2020
1380500013,U,2020 CPH,2020
1380500014,U,2020 CPH,2020
1380500015,U,2020 CPH,2020
1380500016,U,2020 CPH,2020
1380500017,U,2020 CPH,2020
1380500018,U,2020 CPH,2020
1380500019,U,2020 CPH,2020
1380500020,U,2020 CPH,2020
1380500021,U,2020 CPH,2020
1380500022,U,2020 CPH,2020
1380500023,U,2020 CPH,2020
1380500024,U,2020 CPH,2020
1380500025,U,2020 CPH,2020
1380500026,U,2020 CPH,2020
1380500027,U,2020 CPH,2020
1380601001,U,2020 CPH,2020
1380601002,U,2020 CPH,2020
1380601003,U,2020 CPH,2020
1380601004,U,2020 CPH,2020
1380601005,U,2020 CPH,2020
1380601006,U,2020 CPH,2020
1380601007,U,2020 CPH,2020
1380601008,U,2020 CPH,2020
1380601009,U,2020 CPH,2020
1380601010,U,2020 CPH,2020
1380601011,U,2020 CPH,2020
1380601012,U,2020 CPH,2020
1380601013,U,2020 CPH,2020
1380601014,U,2020 CPH,2020
1380601015,U,2020 CPH,2020
1380601016,U,2020 CPH,2020
1380601017,U,2020 CPH,2020
1380601018,U,2020 CPH,2020
1380601019,U,2020 CPH,2020
1380601020,U,2020 CPH,2020
1380601025,U,2020 CPH,2020
1380601026,U,2020 CPH,2020
1380601028,U,2020 CPH,2020
1380601029,U,2020 CPH,2020
1380601030,U,2020 CPH,2020
1380601031,U,2020 CPH,2020
1380601032,U,2020 CPH,2020
1380601033,U,2020 CPH,2020
1380601034,U,2020 CPH,2020
1380601035,U,2020 CPH,2020
1380601036,U,2020 CPH,2020
1380601037,U,2020 CPH,2020
1380601038,U,2020 CPH,2020
1380601039,U,2020 CPH,2020
1380601041,U,2020 CPH,2020
1380601042,U,2020 CPH,2020
1380601043,U,2020 CPH,2020
1380601044,U,2020 CPH,2020
1380601045,U,2020 CPH,2020
1380601046,U,2020 CPH,2020
1380601047,U,2020 CPH,2020
1380601048,U,2020 CPH,2020
1380601049,U,2020 CPH,2020
1380601050,U,2020 CPH,2020
1380601051,U,2020 CPH,2020
1380601052,U,2020 CPH,2020
1380601053,U,2020 CPH,2020
1380601054,U,2020 CPH,2020
1380601055,U,2020 CPH,2020
1380601056,U,2020 CPH,2020
1380601057,U,2020 CPH,2020
1380601058,U,2020 CPH,2020
1380601059,U,2020 CPH,2020
1380601060,U,2020 CPH,2020
1380601061,U,2020 CPH,2020
1380601062,U,2020 CPH,2020
1380601063,U,2020 CPH,2020
1380601064,U,2020 CPH,2020
1380601065,U,2020 CPH,2020
1380601066,U,2020 CPH,2020
1380601067,U,2020 CPH,2020
1380601068,U,2020 CPH,2020
1380601069,U,2020 CPH,2020
1380601070,U,2020 CPH,2020
1380601071,U,2020 CPH,2020
1380601072,U,2020 CPH,2020
1380601073,U,2020 CPH,2020
1380601074,U,2020 CPH,2020
1380601075,U,2020 CPH,2020
1380601076,U,2020 CPH,2020
1380601077,U,2020 CPH,2020
1380601078,U,2020 CPH,2020
1380601079,U,2020 CPH,2020
1380601080,U,2020 CPH,2020
1380601081,U,2020 CPH,2020
1380601082,U,2020 CPH,2020
1380601083,U,2020 CPH,2020
1380601084,U,2020 CPH,2020
1380601085,U,2020 CPH,2020
1380601086,U,2020 CPH,2020
1380601087,U,2020 CPH,2020
1380601088,U,2020 CPH,2020
1380601089,U,2020 CPH,2020
1380601090,U,2020 CPH,2020
1380601091,U,2020 CPH,2020
1380601092,U,2020 CPH,2020
1380601093,U,2020 CPH,2020
1380601094,U,2020 CPH,2020
1380601095,U,2020 CPH,2020
1380601096,U,2020 CPH,2020
1380601097,U,2020 CPH,2020
1380601098,U,2020 CPH,2020
1380601099,U,2020 CPH,2020
1380601100,U,2020 CPH,2020
1380601101,U,2020 CPH,2020
1380601102,U,2020 CPH,2020
1380601103,U,2020 CPH,2020
1380601104,U,2020 CPH,2020
1380601105,U,2020 CPH,2020
1380601106,U,2020 CPH,2020
1380601107,U,2020 CPH,2020
1380601108,U,2020 CPH,2020
1380601109,U,2020 CPH,2020
1380601110,U,2020 CPH,2020
1380601111,U,2020 CPH,2020
1380601112,U,2020 CPH,2020
1380601116,U,2020 CPH,2020
1380601117,U,2020 CPH,2020
1380601118,U,2020 CPH,2020
1380601119,U,2020 CPH,2020
1380601120,U,2020 CPH,2020
1380601121,U,2020 CPH,2020
1380601122,U,2020 CPH,2020
1380601123,U,2020 CPH,2020
1380601124,U,2020 CPH,2020
1380601125,U,2020 CPH,2020
1380601126,U,2020 CPH,2020
1380601127,U,2020 CPH,2020
1380601128,U,2020 CPH,2020
1380601129,U,2020 CPH,2020
1380601130,U,2020 CPH,2020
1380601131,U,2020 CPH,2020
1380601132,U,2020 CPH,2020
1380601133,U,2020 CPH,2020
1380601134,U,2020 CPH,2020
1380601135,U,2020 CPH,2020
1380601136,U,2020 CPH,2020
1380601137,U,2020 CPH,2020
1380601138,U,2020 CPH,2020
1380601139,U,2020 CPH,2020
1380601140,U,2020 CPH,2020
1380601141,U,2020 CPH,2020
1380601142,U,2020 CPH,2020
1380601143,U,2020 CPH,2020
1380601144,U,2020 CPH,2020
1380601145,U,2020 CPH,2020
1380601146,U,2020 CPH,2020
1380601147,U,2020 CPH,2020
1380601148,U,2020 CPH,2020
1380601149,U,2020 CPH,2020
1380601150,U,2020 CPH,2020
1380601151,U,2020 CPH,2020
1380601152,U,2020 CPH,2020
1380601153,U,2020 CPH,2020
1380601154,U,2020 CPH,2020
1380601155,U,2020 CPH,2020
1380601156,U,2020 CPH,2020
1380601157,U,2020 CPH,2020
1380601158,U,2020 CPH,2020
1380601159,U,2020 CPH,2020
1380601160,U,2020 CPH,2020
1380601161,U,2020 CPH,2020
1380601162,U,2020 CPH,2020
1380601163,U,2020 CPH,2020
1380601164,U,2020 CPH,2020
1380601165,U,2020 CPH,2020
1380601166,U,2020 CPH,2020
1380601167,U,2020 CPH,2020
1380601168,U,2020 CPH,2020
1380601169,U,2020 CPH,2020
1380601170,U,2020 CPH,2020
1380601171,U,2020 CPH,2020
1380601172,U,2020 CPH,2020
1380601173,U,2020 CPH,2020
1380601174,U,2020 CPH,2020
1380601175,U,2020 CPH,2020
1380601176,U,2020 CPH,2020
1380601177,U,2020 CPH,2020
1380601178,U,2020 CPH,2020
1380601179,U,2020 CPH,2020
1380601180,U,2020 CPH,2020
1380601181,U,2020 CPH,2020
1380601182,U,2020 CPH,2020
1380601183,U,2020 CPH,2020
1380601184,U,2020 CPH,2020
1380601185,U,2020 CPH,2020
1380601186,U,2020 CPH,2020
1380601187,U,2020 CPH,2020
1380601188,U,2020 CPH,2020
1380601189,U,2020 CPH,2020
1380601190,U,2020 CPH,2020
1380601191,U,2020 CPH,2020
1380601192,U,2020 CPH,2020
1380601193,U,2020 CPH,2020
1380601194,U,2020 CPH,2020
1380601195,U,2020 CPH,2020
1380601196,U,2020 CPH,2020
1380601197,U,2020 CPH,2020
1380601198,U,2020 CPH,2020
1380601199,U,2020 CPH,2020
1380601200,U,2020 CPH,2020
1380601201,U,2020 CPH,2020
1380601202,U,2020 CPH,2020
1380601203,U,2020 CPH,2020
1380601204,U,2020 CPH,2020
1380601205,U,2020 CPH,2020
1380601206,U,2020 CPH,2020
1380601207,U,2020 CPH,2020
1380601208,U,2020 CPH,2020
1380601209,U,2020 CPH,2020
1380601210,U,2020 CPH,2020
1380601211,U,2020 CPH,2020
1380601212,U,2020 CPH,2020
1380601213,U,2020 CPH,2020
1380601214,U,2020 CPH,2020
1380601215,U,2020 CPH,2020
1380601216,U,2020 CPH,2020
1380601217,U,2020 CPH,2020
1380601218,U,2020 CPH,2020
1380601219,U,2020 CPH,2020
1380601220,U,2020 CPH,2020
1380601221,U,2020 CPH,2020
1380601222,U,2020 CPH,2020
1380601223,U,2020 CPH,2020
1380601224,U,2020 CPH,2020
1380601225,U,2020 CPH,2020
1380601226,U,2020 CPH,2020
1380601227,U,2020 CPH,2020
1380601228,U,2020 CPH,2020
1380601229,U,2020 CPH,2020
1380601230,U,2020 CPH,2020
1380601231,U,2020 CPH,2020
1380601232,U,2020 CPH,2020
1380601233,U,2020 CPH,2020
1380601234,U,2020 CPH,2020
1380601235,U,2020 CPH,2020
1380601236,U,2020 CPH,2020
1380601237,U,2020 CPH,2020
1380601238,U,2020 CPH,2020
1380601239,U,2020 CPH,2020
1380601240,U,2020 CPH,2020
1380601241,U,2020 CPH,2020
1380601242,U,2020 CPH,2020
1380601243,U,2020 CPH,2020
1380601244,U,2020 CPH,2020
1380601245,U,2020 CPH,2020
1380601246,U,2020 CPH,2020
1380601247,U,2020 CPH,2020
1380601248,U,2020 CPH,2020
1380601249,U,2020 CPH,2020
1380601250,U,2020 CPH,2020
1380601251,U,2020 CPH,2020
1380601252,U,2020 CPH,2020
1380601253,U,2020 CPH,2020
1380601254,U,2020 CPH,2020
1380601255,U,2020 CPH,2020
1380601256,U,2020 CPH,2020
1380601257,U,2020 CPH,2020
1380601258,U,2020 CPH,2020
1380601259,U,2020 CPH,2020
1380601260,U,2020 CPH,2020
1380601261,U,2020 CPH,2020
1380601262,U,2020 CPH,2020
1380601263,U,2020 CPH,2020
1380601264,U,2020 CPH,2020
1380601265,U,2020 CPH,2020
1380601266,U,2020 CPH,2020
1380601267,U,2020 CPH,2020
1380601268,U,2020 CPH,2020
1380602001,U,2020 CPH,2020
1380602002,U,2020 CPH,2020
1380602003,U,2020 CPH,2020
1380602004,U,2020 CPH,2020
1380602005,U,2020 CPH,2020
1380602006,U,2020 CPH,2020
1380602007,U,2020 CPH,2020
1380602008,U,2020 CPH,2020
1380602009,U,2020 CPH,2020
1380602010,U,2020 CPH,2020
1380603003,U,2020 CPH,2020
1380603004,U,2020 CPH,2020
1380603005,U,2020 CPH,2020
1380603006,U,2020 CPH,2020
1380603007,U,2020 CPH,2020
1380603008,U,2020 CPH,2020
1380603009,U,2020 CPH,2020
1380603010,U,2020 CPH,2020
1380603011,U,2020 CPH,2020
1380603012,U,2020 CPH,2020
1380603013,U,2020 CPH,2020
1380603014,U,2020 CPH,2020
1380603015,U,2020 CPH,2020
1380603016,U,2020 CPH,2020
1380603017,U,2020 CPH,2020
1380603018,U,2020 CPH,2020
1380604001,U,2020 CPH,2020
1380604002,U,2020 CPH,2020
1380604003,U,2020 CPH,2020
1380604004,U,2020 CPH,2020
1380604005,U,2020 CPH,2020
1380604006,U,2020 CPH,2020
1380604007,U,2020 CPH,2020
1380604008,U,2020 CPH,2020
1380604009,U,2020 CPH,2020
1380604014,U,2020 CPH,2020
1380604015,U,2020 CPH,2020
1380604016,U,2020 CPH,2020
1380604017,U,2020 CPH,2020
1380604018,U,2020 CPH,2020
1380604019,U,2020 CPH,2020
1380605001,U,2020 CPH,2020
1380605002,U,2020 CPH,2020
1380605003,U,2020 CPH,2020
1380605004,U,2020 CPH,2020
1380605005,U,2020 CPH,2020
1380605006,U,2020 CPH,2020
1380605007,U,2020 CPH,2020
1380605008,U,2020 CPH,2020
1380605009,U,2020 CPH,2020
1380605012,U,2020 CPH,2020
1380605013,U,2020 CPH,2020
1380605014,U,2020 CPH,2020
1380605015,U,2020 CPH,2020
1380605016,U,2020 CPH,2020
1380605017,U,2020 CPH,2020
1380605018,U,2020 CPH,2020
1380605019,U,2020 CPH,2020
1380605020,U,2020 CPH,2020
1380605021,U,2020 CPH,2020
1380605022,U,2020 CPH,2020
1380605023,U,2020 CPH,2020
1380605024,U,2020 CPH,2020
1380605025,U,2020 CPH,2020
1380605026,U,2020 CPH,2020
1380605027,U,2020 CPH,2020
1380605028,U,2020 CPH,2020
1380605029,U,2020 CPH,2020
1380605030,U,2020 CPH,2020
1380605031,U,2020 CPH,2020
1380605032,U,2020 CPH,2020
1380605033,U,2020 CPH,2020
1380605034,U,2020 CPH,2020
1380605035,U,2020 CPH,2020
1380605036,U,2020 CPH,2020
1380605037,U,2020 CPH,2020
1380605038,U,2020 CPH,2020
1380605039,U,2020 CPH,2020
1380605040,U,2020 CPH,2020
1380605041,U,2020 CPH,2020
1380605042,U,2020 CPH,2020
1380605043,U,2020 CPH,2020
1380605044,U,2020 CPH,2020
1380605045,U,2020 CPH,2020
1380605046,U,2020 CPH,2020
1380605047,U,2020 CPH,2020
1380605048,U,2020 CPH,2020
1380605049,U,2020 CPH,2020
1380605050,U,2020 CPH,2020
1380605051,U,2020 CPH,2020
1380605052,U,2020 CPH,2020
1380605053,U,2020 CPH,2020
1380605054,U,2020 CPH,2020
1380605055,U,2020 CPH,2020
1380605056,U,2020 CPH,2020
1380605057,U,2020 CPH,2020
1380605058,U,2020 CPH,2020
1380605059,U,2020 CPH,2020
1380605060,U,2020 CPH,2020
1380605061,U,2020 CPH,2020
1380605062,U,2020 CPH,2020
1380605063,U,2020 CPH,2020
1380605064,U,2020 CPH,2020
1380605065,U,2020 CPH,2020
1380605066,U,2020 CPH,2020
1380605067,U,2020 CPH,2020
1380605069,U,2020 CPH,2020
1380605070,U,2020 CPH,2020
1380605071,U,2020 CPH,2020
1380605072,U,2020 CPH,2020
1380605073,U,2020 CPH,2020
1380605074,U,2020 CPH,2020
1380605075,U,2020 CPH,2020
1380605076,U,2020 CPH,2020
1380605077,U,2020 CPH,2020
1380605078,U,2020 CPH,2020
1380605079,U,2020 CPH,2020
1380605080,U,2020 CPH,2020
1380605081,U,2020 CPH,2020
1380605082,U,2020 CPH,2020
1380605083,U,2020 CPH,2020
1380605084,U,2020 CPH,2020
1380605085,U,2020 CPH,2020
1380606001,U,2020 CPH,2020
1380606002,U,2020 CPH,2020
1380606003,U,2020 CPH,2020
1380606004,U,2020 CPH,2020
1380606005,U,2020 CPH,2020
1380606006,U,2020 CPH,2020
1380606007,U,2020 CPH,2020
1380606008,U,2020 CPH,2020
1380606009,U,2020 CPH,2020
1380606010,U,2020 CPH,2020
1380606011,U,2020 CPH,2020
1380606012,U,2020 CPH,2020
1380606013,U,2020 CPH,2020
1380606014,U,2020 CPH,2020
1380606015,U,2020 CPH,2020
1380606016,U,2020 CPH,2020
1380606017,U,2020 CPH,2020
1380606018,U,2020 CPH,2020
1380606019,U,2020 CPH,2020
1380606020,U,2020 CPH,2020
1380606021,U,2020 CPH,2020
1380606022,U,2020 CPH,2020
1380606023,U,2020 CPH,2020
1380606024,U,2020 CPH,2020
1380606025,U,2020 CPH,2020
1380606026,U,2020 CPH,2020
1380606027,U,2020 CPH,2020
1380606028,U,2020 CPH,2020
1380606029,U,2020 CPH,2020
1380606030,U,2020 CPH,2020
1380606031,U,2020 CPH,2020
1380606032,U,2020 CPH,2020
1380606033,U,2020 CPH,2020
1380606034,U,2020 CPH,2020
1380606035,U,2020 CPH,2020
1380606036,U,2020 CPH,2020
1380606037,U,2020 CPH,2020
1380606038,U,2020 CPH,2020
1380606039,U,2020 CPH,2020
1380606040,U,2020 CPH,2020
1380606041,U,2020 CPH,2020
1380606042,U,2020 CPH,2020
1380606043,U,2020 CPH,2020
1380606044,U,2020 CPH,2020
1380606045,U,2020 CPH,2020
1380606046,U,2020 CPH,2020
1380606047,U,2020 CPH,2020
1380606048,U,2020 CPH,2020
1380606049,U,2020 CPH,2020
1380606050,U,2020 CPH,2020
1380606051,U,2020 CPH,2020
1380606052,U,2020 CPH,2020
1380606053,U,2020 CPH,2020
1380606054,U,2020 CPH,2020
1380606055,U,2020 CPH,2020
1380606056,U,2020 CPH,2020
1380606057,U,2020 CPH,2020
1380606058,U,2020 CPH,2020
1380606059,U,2020 CPH,2020
1380606060,U,2020 CPH,2020
1380606061,U,2020 CPH,2020
1380606062,U,2020 CPH,2020
1380606063,U,2020 CPH,2020
1380606064,U,2020 CPH,2020
1380606065,U,2020 CPH,2020
1380606066,U,2020 CPH,2020
1380606067,U,2020 CPH,2020
1380606068,U,2020 CPH,2020
1380606069,U,2020 CPH,2020
1380606070,U,2020 CPH,2020
1380606071,U,2020 CPH,2020
1380606072,U,2020 CPH,2020
1380606073,U,2020 CPH,2020
1380606074,U,2020 CPH,2020
1380606075,U,2020 CPH,2020
1380606076,U,2020 CPH,2020
1380606077,U,2020 CPH,2020
1380606078,U,2020 CPH,2020
1380606079,U,2020 CPH,2020
1380606080,U,2020 CPH,2020
1380606081,U,2020 CPH,2020
1380606082,U,2020 CPH,2020
1380606083,U,2020 CPH,2020
1380606084,U,2020 CPH,2020
1380606085,U,2020 CPH,2020
1380606086,U,2020 CPH,2020
1380606087,U,2020 CPH,2020
1380606088,U,2020 CPH,2020
1380606089,U,2020 CPH,2020
1380606090,U,2020 CPH,2020
1380606091,U,2020 CPH,2020
1380606092,U,2020 CPH,2020
1380606093,U,2020 CPH,2020
1380606094,U,2020 CPH,2020
1380606095,U,2020 CPH,2020
1380606096,U,2020 CPH,2020
1380606097,U,2020 CPH,2020
1380606098,U,2020 CPH,2020
1380606099,U,2020 CPH,2020
1380606100,U,2020 CPH,2020
1380606101,U,2020 CPH,2020
1380606102,U,2020 CPH,2020
1380606103,U,2020 CPH,2020
1380606104,U,2020 CPH,2020
1380606105,U,2020 CPH,2020
1380606106,U,2020 CPH,2020
1380606107,U,2020 CPH,2020
1380606108,U,2020 CPH,2020
1380606109,U,2020 CPH,2020
1380606110,U,2020 CPH,2020
1380606111,U,2020 CPH,2020
1380606112,U,2020 CPH,2020
1380606113,U,2020 CPH,2020
1380606114,U,2020 CPH,2020
1380606115,U,2020 CPH,2020
1380606116,U,2020 CPH,2020
1380606117,U,2020 CPH,2020
1380606118,U,2020 CPH,2020
1380606119,U,2020 CPH,2020
1380606120,U,2020 CPH,2020
1380606121,U,2020 CPH,2020
1380606122,U,2020 CPH,2020
1380606123,U,2020 CPH,2020
1380606124,U,2020 CPH,2020
1380606125,U,2020 CPH,2020
1380606126,U,2020 CPH,2020
1380606127,U,2020 CPH,2020
1380606128,U,2020 CPH,2020
1380606129,U,2020 CPH,2020
1380606130,U,2020 CPH,2020
1380606131,U,2020 CPH,2020
1380606132,U,2020 CPH,2020
1380606133,U,2020 CPH,2020
1380606134,U,2020 CPH,2020
1380606135,U,2020 CPH,2020
1380606136,U,2020 CPH,2020
1380606137,U,2020 CPH,2020
1380606138,U,2020 CPH,2020
1380606139,U,2020 CPH,2020
1380606140,U,2020 CPH,2020
1380606141,U,2020 CPH,2020
1380606142,U,2020 CPH,2020
1380606143,U,2020 CPH,2020
1380606144,U,2020 CPH,2020
1380606145,U,2020 CPH,2020
1380606146,U,2020 CPH,2020
1380606147,U,2020 CPH,2020
1380606148,U,2020 CPH,2020
1380606149,U,2020 CPH,2020
1380606150,U,2020 CPH,2020
1380606151,U,2020 CPH,2020
1380606152,U,2020 CPH,2020
1380606153,U,2020 CPH,2020
1380606154,U,2020 CPH,2020
1380606155,U,2020 CPH,2020
